emotion,sent_id,f0_mean,f0_std,f0_range,voiced_ratio,duration,words_per_sec,syllables_per_sec,rms_mean,rms_std,pause_count,pause_total,pause_max,spectral_centroid,mfcc_mean,mfcc_std,jitter_proxy,shimmer_proxy
happy,s3,0.314581283851227,-0.16040150703919606,-0.31209553538201695,-0.19150179480758,-0.189873417721519,0.0,0.0,0.22002819626601428,0.017361153047738456,-1.0,-0.633986928104575,-1.0,0.06733387604396625,0.05271772592303408,-0.0965578191323112,0.01577936008913136,0.041740213246970775
happy,s4,0.16611385375598853,-0.21086397032487345,-0.042512059743698205,0.02564102564102555,-0.11428571428571424,0.0,0.0,0.11363116914723476,0.00036436174586649693,0.0,-0.4324324324324324,0.0,-0.06000999928988525,0.0002813858464467014,-0.0375110293606792,0.15601031155676462,-0.006098896385653606
happy,s5,0.22984644461446185,0.18119693581206792,-0.09394471799458613,-0.037641502882144656,-0.20253164556962028,0.0,0.0,0.2536783424755112,-0.025784173681436297,23.471811304752897,-0.5289256198347108,16.084018533125143,-0.008153014755817081,0.06430070246254231,-0.10084552293778953,0.16326367251266538,0.012054980899122153
low_energy,s1,0.09917648088041255,2.421538061528152,1.62426544702873,-0.2777717391304348,0.1643835616438356,0.0,0.0,-0.13067507231016526,-0.04215911935141435,23.471811304752897,-0.04597701149425295,16.084018533125143,-0.056704676281793986,-0.2883756845294552,0.0405365478399261,-0.2825916644946858,-0.06318204140012401
low_energy,s2,-0.037150832483924597,-0.44377845152953715,-0.23250786539050106,0.06004273504273494,-0.03125000000000003,0.0,0.0,0.29578830234476,0.17681499013919408,23.471811304752897,-0.25000000000000006,16.084018533125143,-0.08047183173356633,0.194251126570644,-0.0391344411411354,-0.21320342374843104,-0.07453403421741
low_energy,s3,-0.03912777375483616,-0.23023910837059186,-0.22810243474752143,-0.0531139206635896,0.012658227848101276,0.0,0.0,0.023749680243572654,0.01314384747947563,0.0,-0.21568627450980385,0.0,0.027511820479558725,0.11539650357517992,-0.06133606707182439,0.09035540260927295,0.02911940551953497
low_energy,s4,-0.1689519236918603,-0.5018544808084777,-0.2896809962990585,0.30135557872784136,0.0428571428571429,0.0,0.0,-0.034406469789255226,-0.04077736818315242,0.0,0.17567567567567574,0.0,-0.018072722201392256,0.07944439760986095,0.009441132741395361,0.03815291312230311,-0.04426705890459973
low_energy,s5,-0.17108049929193603,-0.6768791308094548,-0.7538664539995025,-0.08664003064966344,0.012658227848101276,0.0,0.0,0.05329754161808167,0.00012857269710868526,0.0,0.322314049586777,0.0,-0.055606059637603275,0.1805675588543208,-0.05748946049322529,-0.42500541842042117,-0.08018548035491964
neutral,s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neutral,s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neutral,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neutral,s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neutral,s5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sad,s1,0.04397806434146179,1.1104970623902568,0.6240864380349537,-0.0058179543321863585,0.013698630136986314,0.0,0.0,-0.015119308806023638,-0.02058636580128283,0.0,-0.2873563218390805,0.0,-0.083448968280395,-0.008536710340120926,-0.008385358548440618,0.1445079767689631,-0.00628123204597859
sad,s2,0.20581595507132577,0.007871287503982131,0.21941592964330983,0.01585820895522393,0.10937499999999992,0.0,0.0,0.3733336861245191,0.22824019631540957,23.471811304752897,-0.1704545454545455,16.084018533125143,0.01242848388440794,0.048913285849043184,-0.08822605159373975,-0.26483137515097244,-0.09317746793708154
sad,s3,0.010844045557459926,-0.20980514237446474,-0.2274360458648821,-0.13598952487841381,0.08860759493670879,0.0,0.0,0.16802647294716375,0.1276246203142576,0.0,-0.0457516339869281,0.0,0.033594507451250005,0.12772639139981012,-0.05569654784432808,-0.08864998115308477,0.040170091068190916
sad,s4,0.012006572388147639,-0.16831623048925518,0.062450306663368316,0.22627737226277367,0.0428571428571429,0.0,0.0,0.08067061652795328,0.02244634058460344,0.0,-0.25675675675675674,0.0,-0.020198042704663254,-0.004935035158784888,-0.012165037447719093,0.2604496842217528,0.03217736444147379
sad,s5,-0.0008897729068928652,-0.23484235073062054,-0.39257119694070763,-0.06682592975206617,-0.1392405063291139,0.0,0.0,0.013354692150891814,-0.04231824371924046,23.471811304752897,0.024793388429752088,48.25205559937543,-0.07892717073926438,0.017887578085372315,0.010239740222365875,-0.013913646448396393,0.02448372265507387
surprised,s1,0.45866078719901426,3.6255069106358855,1.9076281595941824,0.018373071528751807,-0.09589041095890405,0.0,0.0,0.14908577777461335,0.10526751602410324,0.0,-0.7471264367816092,0.0,-0.13159718982341617,-0.11544799320462108,-0.07242277344763452,0.6741657970599272,-0.012258787003036418
surprised,s2,0.5418452759677931,0.17092045060050118,0.2962361578829094,-0.25857843137254904,-0.15624999999999997,0.0,0.0,0.3314323624359541,0.5617895594023053,0.0,0.5681818181818182,0.0,-0.15577301768877383,-0.33448281021962645,0.0258526167142461,-0.02072806550109948,-0.11472175433092821
surprised,s3,0.2987349268172947,-0.19372116930311364,-0.20475268779051725,-0.15261862320685857,-0.20253164556962028,0.0,0.0,0.2801690429618004,0.014866826536252313,-1.0,-0.7320261437908496,-1.0,0.040795260772166185,0.14624339766006186,-0.10342941442430156,0.2376856332301743,0.06156623266809766
surprised,s4,0.2545048666507875,0.11234912240431308,-0.11890724192549362,-0.6346604215456675,-0.07142857142857134,0.0,0.0,0.18405318836297535,0.30947973453484046,0.0,0.7162162162162162,0.0,-0.010144420867012085,-0.14089846800007305,-0.0008778328956327206,0.11691905815235223,0.07243315807323306
surprised,s5,0.3947269860467958,0.43294666577295415,0.036517153055303404,0.057046734440137435,-0.2405063291139241,0.0,0.0,0.47377415934932526,0.10815526367597363,0.0,-0.5702479338842975,0.0,-0.022686273674749256,0.07258969884702489,-0.16882195911337136,0.34543564301311613,0.19345656220593627
