emotion,sent_id,f0_mean,f0_std,f0_range,voiced_ratio,duration,words_per_sec,syllables_per_sec,rms_mean,rms_std,pause_count,pause_total,pause_max,spectral_centroid,mfcc_mean,mfcc_std,jitter_proxy,shimmer_proxy
happy,s5,150.92555676060226,42.76476024995708,179.73967099940702,0.7815126050420168,2.52,0.0,0.0,0.119813933968544,0.06514818966388702,1.0,0.152,0.021333333333333333,2316.598346854884,-9.848284721374512,79.85542297363281,0.05330423217275172,0.1710379908330394
low_energy,s1,121.57661117959242,41.6926263385968,195.1585146000369,0.60625,3.4,0.0,0.0,0.09551747888326645,0.05696803331375122,1.0,0.22133333333333333,0.021333333333333333,2279.943262981384,-9.86152458190918,87.72676849365234,0.028410626976921528,0.1795155075197207
low_energy,s2,118.16632606616214,24.998174513304516,104.0873864656096,0.7008547008547008,2.48,0.0,0.0,0.10435450822114944,0.05830969288945198,1.0,0.176,0.021333333333333333,2037.6114279082879,-10.424544334411621,91.65691375732422,0.034272651802819215,0.13523773846892936
low_energy,s3,128.59721953227137,42.26589859120768,171.16283512641564,0.6291390728476821,3.2,0.0,0.0,0.0793151706457138,0.05562438815832138,1.0,0.32,0.021333333333333333,2354.011415736738,-11.869954109191895,87.73381805419922,0.05346267704274326,0.21747628323288784
low_energy,s4,113.94064262791014,27.994865766283624,122.69292793870102,0.7591240875912408,2.92,0.0,0.0,0.09956074506044388,0.05736254155635834,0.0,0.232,0.0,1844.371351271901,-8.508108139038086,88.67974853515625,0.04884326709430941,0.1749258232914912
low_energy,s5,101.72419305021738,11.698461182674384,48.82700146301063,0.7417218543046358,3.2,0.0,0.0,0.10066355764865875,0.06688103824853897,0.0,0.4266666666666667,0.0,2205.76507623773,-8.6245698928833,83.70594787597656,0.02634797716014672,0.15544928916745598
neutral,s1,110.60699832497565,12.18534635267969,74.36691087062137,0.8394160583941606,2.92,0.0,0.0,0.10987546294927597,0.05947546660900116,0.0,0.232,0.0,2416.9983733137638,-7.65423059463501,84.30916595458984,0.039601751988161946,0.1916226155485065
neutral,s2,122.72568752487318,44.94283722384768,135.62013442466014,0.6611570247933884,2.56,0.0,0.0,0.08053360879421234,0.04954873397946358,0.0,0.23466666666666666,0.0,2215.931494246394,-12.937708854675293,95.38994598388672,0.043559736833248416,0.14612934831652075
neutral,s3,133.83383973412938,54.90782793828408,221.74293951870453,0.6644295302013423,3.16,0.0,0.0,0.0774751603603363,0.054902754724025726,1.0,0.408,0.021333333333333333,2290.9823213888453,-13.418389320373535,93.4666976928711,0.049032340202840745,0.21132269206710597
neutral,s4,137.10475467807078,56.19816838203943,172.72933329875713,0.5833333333333334,2.8,0.0,0.0,0.10310833901166916,0.059801071882247925,0.0,0.19733333333333333,0.0,1878.3176646307402,-9.242362022399902,87.850341796875,0.04704823969275446,0.18302793151714783
