model,feature,condition_a,condition_b,mean_a,mean_b,t,p,p_bonferroni_6,cohens_d
kokoro,pause_count,primed_owl,primed_death,1.0,1.0,nan,nan,nan,0.0
kokoro,pause_duration_mean,cold,primed_neutral,0.59,0.826,-59.0,4.942e-07,2.9653e-06,-37.314876
kokoro,pause_duration_mean,cold,primed_owl,0.59,0.85,-inf,0.0,0.0,0.0
kokoro,pause_duration_mean,cold,primed_death,0.59,0.842,-126.0,2.38e-08,1.428e-07,-79.689397
kokoro,pause_duration_mean,primed_neutral,primed_owl,0.826,0.85,-6.0,0.003882537,0.0232952223,-3.794733
kokoro,pause_duration_mean,primed_neutral,primed_death,0.826,0.842,-3.577709,0.0120738131,0.0724428786,-2.262742
kokoro,pause_duration_mean,primed_owl,primed_death,0.85,0.842,4.0,0.0161300899,0.0967805394,2.529822
kokoro,rms_energy,cold,primed_neutral,0.034009,0.044885,-871.104184,0.0,0.0,-550.93466
kokoro,rms_energy,cold,primed_owl,0.034009,0.039382,-533.868023,0.0,0.0,-337.647784
kokoro,rms_energy,cold,primed_death,0.034009,0.04016,-277.3457,1e-10,3e-10,-175.408822
kokoro,rms_energy,primed_neutral,primed_owl,0.044885,0.039382,409.132939,0.0,0.0,258.75839
kokoro,rms_energy,primed_neutral,primed_death,0.044885,0.04016,197.66877,0.0,0.0,125.016707
kokoro,rms_energy,primed_owl,primed_death,0.039382,0.04016,-34.19332,3.248e-07,1.949e-06,-21.625754
kokoro,spectral_centroid,cold,primed_neutral,2536.7555,2282.26984,214.840543,0.0,0.0,135.87709
kokoro,spectral_centroid,cold,primed_owl,2536.7555,2285.9764,177.514017,0.0,0.0,112.269722
kokoro,spectral_centroid,cold,primed_death,2536.7555,2412.75034,79.30537,2e-10,1.4e-09,50.15712
kokoro,spectral_centroid,primed_neutral,primed_owl,2282.26984,2285.9764,-2.423939,0.0434871189,0.2609227136,-1.533033
kokoro,spectral_centroid,primed_neutral,primed_death,2282.26984,2412.75034,-78.152139,0.0,1e-10,-49.427753
kokoro,spectral_centroid,primed_owl,primed_death,2285.9764,2412.75034,-68.954411,0.0,0.0,-43.610599
xtts,f0_mean,cold,primed_neutral,193.95718,188.33702,2.940364,0.0197426139,0.1184556832,1.85965
xtts,f0_mean,cold,primed_owl,193.95718,194.16316,-0.097288,0.9252078687,1.0,-0.06153
xtts,f0_mean,cold,primed_death,193.95718,192.6007,0.476952,0.6513581093,1.0,0.301651
xtts,f0_mean,primed_neutral,primed_owl,188.33702,194.16316,-2.529851,0.0359371569,0.2156229417,-1.600018
xtts,f0_mean,primed_neutral,primed_death,188.33702,192.6007,-1.428414,0.2000259216,1.0,-0.903409
xtts,f0_mean,primed_owl,primed_death,194.16316,192.6007,0.500672,0.6318821362,1.0,0.316653
xtts,f0_std,cold,primed_neutral,27.2287,30.13146,-0.796116,0.4539203998,1.0,-0.503508
