model,window_idx,time_start,time_end,f0_mean,f0_std,cpp_mean,spectral_flatness,spectral_tilt_ratio,mfcc_mean,rms_mean,spectral_centroid,voiced_frame_ratio,too_little_voicing,has_clipping
chatterbox,12,180.0,195.0,181.0427208975263,16.194265720689536,14.255997801052517,,1.7353836919763548,10.084348785746332,0.07346940785646439,1593.8889645358418,0.2625250501002004,False,False
chatterbox,13,195.0,210.0,182.86255864324636,21.133363387379262,13.070187036611296,,1.59856361981824,10.405417549686836,0.06094354763627052,1729.2726705376633,0.19906479625918505,False,False
chatterbox,14,210.0,225.0,187.75367810493177,17.356658750511176,13.524124528670322,,1.8080183975252435,9.710708443155841,0.07407555729150772,1607.1688159602095,0.25250501002004005,False,False
chatterbox,15,225.0,240.0,183.1562788029084,22.55579048456245,13.65120275642278,,1.89050905720589,10.109923821100514,0.07146310806274414,1613.2834040383887,0.23914495657982632,False,False
chatterbox,16,240.0,255.0,188.3213816055255,21.973844726808615,14.513615505333245,,1.7373160971767376,9.934971544891821,0.0752435103058815,1598.2546049408134,0.25985303941215765,False,False
chatterbox,17,255.0,270.0,188.10663660397563,20.31594835573807,14.279464960271161,,1.637354898263197,10.393535952377588,0.06541862338781357,1693.1587278333395,0.26920507682030725,False,False
chatterbox,18,270.0,285.0,195.8030223600871,22.480820872340736,14.15959225610408,,1.9886471304264546,10.151765218216315,0.0757867768406868,1593.6266390983874,0.23246492985971945,False,False
xtts,0,0.0,15.0,197.35164138472442,15.738734964826985,13.103458653021699,,2.0120120340689462,8.957600112539815,0.11974488198757172,1487.2972872033545,0.2578490313961256,False,False
xtts,1,15.0,30.0,195.21631370321165,14.245095365391695,12.986215830230657,,1.7780247549359387,8.395725290904666,0.10305376350879669,1554.7456137553559,0.22778891115564462,False,False
xtts,2,30.0,45.0,194.7453191284984,15.541080707902694,12.316275184694957,,1.8633065897606687,9.735980870027886,0.109220489859581,1512.630717438875,0.24916499665998665,False,False
