model,window_idx,time_start,time_end,drift_from_reference,drift_f0_mean,drift_f0_std,drift_cpp_mean,drift_spectral_flatness,drift_spectral_tilt_ratio,drift_mfcc_mean,drift_rms_mean,drift_spectral_centroid
kokoro,2,30.0,45.0,1.2205582171655602,1.0535460561086085,2.117996125721624,0.4009588464868679,,0.8433442769116853,1.7892374344835567,0.33498295917143156,2.0038418212751474
kokoro,3,45.0,60.0,1.095776688617977,1.5729467178287313,1.8848597575994814,0.19591617658462132,,0.35139250434773106,1.6993770632482113,0.28560096371085064,1.6803436370062108
kokoro,4,60.0,75.0,1.3258422319532503,1.8818855554560332,1.9527257783587717,0.6010075099897274,,0.6343009140305482,1.777454858347987,0.2916841872562154,2.1418368202334683
kokoro,5,75.0,90.0,1.3263084059705672,2.055998377092756,1.6387027712830582,0.9433110083646458,,0.7742710607882801,1.8275176376510462,0.2762021065893893,1.768155880024796
kokoro,6,90.0,105.0,1.003703122601753,0.42804740629517857,1.2501780632697623,0.9520666062265078,,0.6931456163064946,1.7206169624711982,0.31987115575938707,1.6619960478837428
kokoro,7,105.0,120.0,1.231948455828876,1.1269557504178223,1.5130535160103769,1.3026391328368478,,0.716991058862656,1.8020925865632131,0.29957577323273044,1.862331372878485
kokoro,8,120.0,135.0,1.397506377028519,1.7735466386864829,1.9723644437985093,1.227849410986405,,0.5202868743537069,1.7648479448366958,0.3277225155771223,2.1959268109607106
kokoro,9,135.0,150.0,1.4749116337847064,2.893246917740375,2.275818348279057,1.2168868154166228,,0.4774028574227171,1.7796689328342408,0.2385057346411919,1.4428518301587385
kokoro,10,150.0,165.0,1.407074050773321,1.5503063532578043,1.716025889147277,1.6258884417492654,,0.7219624821043118,1.7365934523299258,0.30301949536704625,2.195722241457618
kokoro,11,165.0,180.0,1.6275486540153759,3.00589292381288,2.2702026800355095,0.8051721620294355,,0.8487462774370527,1.8588440436184905,0.3020434061119995,2.3019390850622594
kokoro,12,180.0,195.0,1.1343324210478565,1.1672876104166945,1.6805400113772695,0.8083246102431231,,0.5836923962298707,1.7398281075529831,0.3352708181685639,1.6253833933464907
kokoro,13,195.0,210.0,1.357259256015653,2.329584387252771,2.0420062749583314,0.1688701428836392,,0.7366948324879318,1.755305081904318,0.29406887258627196,2.1742852000363073
kokoro,14,210.0,225.0,1.2039687721145105,1.2063950782768387,2.023469948459434,0.15191909285871913,,0.920850949021423,1.7869430616724458,0.3086324055522427,2.02957086896047
kokoro,15,225.0,240.0,1.4559394226895,1.947278654286237,1.506625126500925,1.5713809965429328,,0.5660684576036349,1.7893572427185858,0.2653839163355014,2.545481564838683
kokoro,16,240.0,255.0,1.274622840321914,1.9582196737360777,2.113763798919419,1.0422034499652744,,0.5810284362178333,1.7056919801348276,0.2845378438002494,1.2369146994797167
kokoro,17,255.0,270.0,1.2074848186575833,1.8195099806654107,1.6771011787905972,0.03625736817378245,,0.7193944593172581,1.7273081320789385,0.3347995218383517,2.1380230897387436
kokoro,18,270.0,285.0,1.2599769570140158,1.869238616283831,1.4816318508603041,0.20444729406999212,,0.8806920528663913,1.834462664753885,0.2996719530710146,2.24969426719269
kokoro,19,285.0,300.0,1.2997587893927693,1.6676145665337159,2.096359840501385,0.8048816470928389,,0.5620844775195301,1.797751310218987,0.26474422967520955,1.9048754542077189
